cap,color,drive,fuel,km,make,model,power,price,trans,year
1499cm3,Srebrny,,Benzyna,207000km,Mitsubishi,Colt,109KM,10900,Manualna,2007
4000cm3,Biały,Natylnekoła,Benzyna,126160km,Dodge,Dakota,125KM,82000,Automatyczna,1989
1595cm3,Biały,Naprzedniekoła,Benzyna,218000km,Volkswagen,Golf,75KM,49999,Automatyczna,1982
1988cm3,Czarny,Natylnekoła,Benzyna,15000km,Porsche,718Boxster,300KM,290000,Automatyczna,2019
4799cm3,Biały,Natylnekoła,Benzyna,146646km,BMW,Seria6,367KM,89000,Automatyczna,2010
1499cm3,Innykolor,Naprzedniekoła,Benzyna,179000km,Mitsubishi,Colt,109KM,11900,Manualna,2007
1896cm3,Czarny,Naprzedniekoła,Diesel,251000km,Volkswagen,NewBeetle,105KM,19900,Manualna,2006
5439cm3,Czarny,Natylnekoła,Benzyna,200002km,MercedesBenz,CLK,367KM,89999,Automatyczna,2005
1242cm3,Biały,Naprzedniekoła,Benzyna,98000km,Fiat,500,69KM,26900,Manualna,2010
1998cm3,Czarny,Naprzedniekoła,Benzyna,169800km,Renault,Megane,165KM,12500,Manualna,2005
3982cm3,Biały,Natylnekoła,Benzyna,42994km,MercedesBenz,AMGGT,476KM,649000,Automatyczna,2018
3199cm3,Czerwony,Natylnekoła,Benzyna,238850km,MercedesBenz,KlasaE,220KM,74000,Automatyczna,1995
1984cm3,Innykolor,Naprzedniekoła,Benzyna,179000km,Volkswagen,Eos,200KM,22900,Manualna,2007
2494cm3,Czarny,Natylnekoła,Benzyna,120000km,BMW,Seria3,170KM,56000,Manualna,1990
1999cm3,Niebieski,Natylnekoła,Benzyna,128000km,Mazda,MX5,160KM,35900,Manualna,2007
3982cm3,Szary,Natylnekoła,Benzyna,2km,AstonMartin,Vantage,510KM,224090,Automatyczna,2021
2998cm3,Czarny,,Benzyna,17000km,BMW,Seria4,374KM,210000,Automatyczna,2021
1596cm3,Niebieski,Naprzedniekoła,Benzyna,113000km,Ford,Focus,100KM,16800,Manualna,2007
1781cm3,Czarny,Naprzedniekoła,Benzyna,350000km,Audi,TT,180KM,9900,Manualna,2000
1457cm3,Biały,Naprzedniekoła,Benzyna,220000km,Volkswagen,Golf,70KM,2700,Manualna,1981
